Date,StartTime,Duration,Activity,ActivityType,LogType,Steps,Distance,ElevationGain,Calories,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,AverageHeartRate,OutOfRangeHeartRateMinutes,FatBurnHeartRateMinutes,CardioHeartRateMinutes,PeakHeartRateMinutes
10/1/2017,12:21:10,5172000,Walk,90013,auto_detected,5768,0,0,508,10,32,8,36,84,48,27,2,0
10/3/2017,19:14:12,1792000,Walk,90013,auto_detected,2257,0,39.624,199,1,9,5,14,82,23,6,0,0
10/3/2017,23:19:57,1787000,Walk,90013,auto_detected,2334,0,3.048,171,0,13,11,5,81,24,4,0,0
10/5/2017,18:37:24,1075000,Walk,90013,auto_detected,1752,0,0,136,0,1,0,17,104,0,18,0,0
10/9/2017,10:55:51,7936000,Walk,90013,auto_detected,10638,0,341.376,860,6,62,13,51,95,54,76,0,0
10/10/2017,11:27:42,5446000,Hike,90012,tracker,6519,4.46707,188.976,730,2,9,11,68,116,7,65,19,0
10/10/2017,13:16:01,4309000,Hike,90012,tracker,5477,3.71722,187.452,626,0,0,4,65,122,0,50,19,0
10/10/2017,15:18:13,7886000,Hike,90012,tracker,11592,7.9415,185.014,1144,0,1,12,118,121,0,96,34,0
10/12/2017,7:22:06,1178000,Walk,90013,auto_detected,1247,0,6.096,100,3,16,0,0,86,9,2,0,0
10/12/2017,9:20:43,973000,Walk,90013,auto_detected,1328,0,18.288,118,0,3,2,11,98,3,10,0,0
10/13/2017,12:26:20,3533000,Walk,90013,auto_detected,4812,0,91.44,343,1,23,16,18,88,38,21,0,0
10/13/2017,13:53:22,2766000,Walk,90013,auto_detected,4147,0,243.84,357,0,9,7,30,96,20,25,0,0
10/14/2017,8:32:58,1587000,Walk,90013,auto_detected,2352,0,9.144,173,0,4,5,17,92,11,16,0,0
10/15/2017,18:11:03,1740000,Walk,90013,auto_detected,2965,0,18.288,209,2,0,4,23,89,17,10,0,0
10/17/2017,8:30:12,1076000,Walk,90013,auto_detected,1640,0,15.24,141,0,0,3,15,110,0,18,0,0
10/21/2017,18:01:08,2166000,Run,90009,tracker,5760,6.465203,46.33,460,0,0,0,36,147,0,0,25,10
10/21/2017,19:50:14,1179000,Walk,90013,auto_detected,2015,0,21.336,166,0,1,1,17,114,0,18,0,0
10/21/2017,21:39:28,1078000,Walk,90013,auto_detected,1608,0,3.048,136,0,0,2,15,106,1,17,0,0
10/22/2017,15:56:03,1075000,Walk,90013,auto_detected,1749,0,3.048,140,0,0,1,16,111,0,17,0,0
10/25/2017,19:08:15,3840000,Walk,90013,auto_detected,5241,0,3.048,460,5,5,14,40,104,14,50,0,0
10/26/2017,18:28:43,921000,Walk,90013,auto_detected,1421,0,15.24,115,0,1,2,12,106,1,15,0,0
10/27/2017,7:29:39,1228000,Walk,90013,auto_detected,1747,0,6.096,164,0,1,5,15,109,0,20,1,0
10/27/2017,18:12:34,1749000,Walk,90013,auto_detected,2375,0,6.096,198,2,2,8,17,99,8,21,0,0
10/30/2017,8:24:23,1229000,Walk,90013,auto_detected,2054,0,9.144,168,0,1,1,18,108,0,19,1,0
10/30/2017,19:15:55,2510000,Walk,90013,auto_detected,3948,0,39.624,319,0,3,6,32,104,4,38,0,0
10/31/2017,8:31:19,1331000,Walk,90013,auto_detected,2281,0,15.24,178,1,0,2,19,107,2,20,0,0
