ActivityHour,Calories
10/1/2017 12:00:00 AM,73
10/1/2017 1:00:00 AM,71
10/1/2017 2:00:00 AM,71
10/1/2017 3:00:00 AM,69
10/1/2017 4:00:00 AM,71
10/1/2017 5:00:00 AM,70
10/1/2017 6:00:00 AM,69
10/1/2017 7:00:00 AM,69
10/1/2017 8:00:00 AM,70
10/1/2017 9:00:00 AM,95
10/1/2017 10:00:00 AM,138
10/1/2017 11:00:00 AM,125
10/1/2017 12:00:00 PM,268
10/1/2017 1:00:00 PM,310
10/1/2017 2:00:00 PM,177
10/1/2017 3:00:00 PM,80
10/1/2017 4:00:00 PM,113
10/1/2017 5:00:00 PM,129
10/1/2017 6:00:00 PM,136
10/1/2017 7:00:00 PM,138
10/1/2017 8:00:00 PM,113
10/1/2017 9:00:00 PM,124
10/1/2017 10:00:00 PM,96
10/1/2017 11:00:00 PM,74
10/2/2017 12:00:00 AM,71
10/2/2017 1:00:00 AM,75
10/2/2017 2:00:00 AM,69
10/2/2017 3:00:00 AM,69
10/2/2017 4:00:00 AM,69
10/2/2017 5:00:00 AM,69
10/2/2017 6:00:00 AM,70
10/2/2017 7:00:00 AM,85
10/2/2017 8:00:00 AM,205
10/2/2017 9:00:00 AM,112
10/2/2017 10:00:00 AM,104
10/2/2017 11:00:00 AM,102
10/2/2017 12:00:00 PM,151
10/2/2017 1:00:00 PM,94
10/2/2017 2:00:00 PM,216
10/2/2017 3:00:00 PM,112
10/2/2017 4:00:00 PM,109
10/2/2017 5:00:00 PM,82
10/2/2017 6:00:00 PM,177
10/2/2017 7:00:00 PM,117
10/2/2017 8:00:00 PM,85
10/2/2017 9:00:00 PM,91
10/2/2017 10:00:00 PM,86
10/2/2017 11:00:00 PM,81
10/3/2017 12:00:00 AM,71
10/3/2017 1:00:00 AM,75
10/3/2017 2:00:00 AM,71
10/3/2017 3:00:00 AM,70
10/3/2017 4:00:00 AM,70
10/3/2017 5:00:00 AM,72
10/3/2017 6:00:00 AM,72
10/3/2017 7:00:00 AM,80
10/3/2017 8:00:00 AM,107
10/3/2017 9:00:00 AM,135
10/3/2017 10:00:00 AM,85
10/3/2017 11:00:00 AM,112
10/3/2017 12:00:00 PM,142
10/3/2017 1:00:00 PM,94
10/3/2017 2:00:00 PM,106
10/3/2017 3:00:00 PM,108
10/3/2017 4:00:00 PM,92
10/3/2017 5:00:00 PM,115
10/3/2017 6:00:00 PM,97
10/3/2017 7:00:00 PM,300
10/3/2017 8:00:00 PM,114
10/3/2017 9:00:00 PM,211
10/3/2017 10:00:00 PM,205
10/3/2017 11:00:00 PM,241
10/4/2017 12:00:00 AM,102
10/4/2017 1:00:00 AM,69
10/4/2017 2:00:00 AM,70
10/4/2017 3:00:00 AM,71
10/4/2017 4:00:00 AM,70
10/4/2017 5:00:00 AM,71
10/4/2017 6:00:00 AM,71
10/4/2017 7:00:00 AM,77
10/4/2017 8:00:00 AM,148
10/4/2017 9:00:00 AM,78
10/4/2017 10:00:00 AM,95
10/4/2017 11:00:00 AM,96
10/4/2017 12:00:00 PM,72
10/4/2017 1:00:00 PM,140
10/4/2017 2:00:00 PM,87
10/4/2017 3:00:00 PM,112
10/4/2017 4:00:00 PM,81
10/4/2017 5:00:00 PM,86
10/4/2017 6:00:00 PM,100
10/4/2017 7:00:00 PM,193
10/4/2017 8:00:00 PM,142
10/4/2017 9:00:00 PM,109
10/4/2017 10:00:00 PM,89
10/4/2017 11:00:00 PM,70
10/5/2017 12:00:00 AM,72
10/5/2017 1:00:00 AM,71
10/5/2017 2:00:00 AM,70
10/5/2017 3:00:00 AM,70
10/5/2017 4:00:00 AM,76
10/5/2017 5:00:00 AM,151
10/5/2017 6:00:00 AM,87
10/5/2017 7:00:00 AM,207
10/5/2017 8:00:00 AM,92
10/5/2017 9:00:00 AM,78
10/5/2017 10:00:00 AM,150
10/5/2017 11:00:00 AM,79
10/5/2017 12:00:00 PM,104
10/5/2017 1:00:00 PM,102
10/5/2017 2:00:00 PM,120
10/5/2017 3:00:00 PM,102
10/5/2017 4:00:00 PM,86
10/5/2017 5:00:00 PM,123
10/5/2017 6:00:00 PM,231
10/5/2017 7:00:00 PM,101
10/5/2017 8:00:00 PM,113
10/5/2017 9:00:00 PM,133
10/5/2017 10:00:00 PM,145
10/5/2017 11:00:00 PM,90
10/6/2017 12:00:00 AM,73
10/6/2017 1:00:00 AM,70
10/6/2017 2:00:00 AM,71
10/6/2017 3:00:00 AM,70
10/6/2017 4:00:00 AM,71
10/6/2017 5:00:00 AM,71
10/6/2017 6:00:00 AM,81
10/6/2017 7:00:00 AM,145
10/6/2017 8:00:00 AM,125
10/6/2017 9:00:00 AM,81
10/6/2017 10:00:00 AM,99
10/6/2017 11:00:00 AM,116
10/6/2017 12:00:00 PM,177
10/6/2017 1:00:00 PM,105
10/6/2017 2:00:00 PM,99
10/6/2017 3:00:00 PM,115
10/6/2017 4:00:00 PM,178
10/6/2017 5:00:00 PM,96
10/6/2017 6:00:00 PM,115
10/6/2017 7:00:00 PM,111
10/6/2017 8:00:00 PM,99
